species,Sample,treat,Order,feed,name,length
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,5
ARCA,ARCA11,T,AUCH,herb,AUCHENORRHYNCHA,5
ARCA,ARCA11,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA11,T,COLE,herb,COLEOPTERA,3.5
ARCA,ARCA11,T,COLE,herb,COLEOPTERA,3.5
ARCA,ARCA11,T,NEUR,pred,NEUROPTERA,6
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA11,T,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA11,T,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA11,T,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA11,T,STER,herb,STERNORRHYNCHA,3
ARCA,ARCA14,C,ACAR,pred,ACARINA,0.5
ARCA,ARCA14,C,ARAN,pred,ARANEAE,1
ARCA,ARCA14,C,ARAN,pred,ARANEAE,1.5
ARCA,ARCA14,C,ARAN,pred,ARANEAE,2
ARCA,ARCA14,C,ARAN,pred,ARANEAE,5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA14,C,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,2
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,2
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,2
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,3
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,3
ARCA,ARCA14,C,COLE,herb,COLEOPTERA,5
ARCA,ARCA14,C,HETE,omni,HETEROPTERA,6.5
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,1
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,1
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,1
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,1.5
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,2.5
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA14,C,HYME,pred,HYMENOPTERA,5
ARCA,ARCA14,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,HETE,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA14,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA2,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA2,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA2,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA2,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA2,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,2
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,2
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,2
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,3.5
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,5.5
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,5.5
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,6.5
ARCA,ARCA2,T,COLE,herb,COLEOPTERA,7.5
ARCA,ARCA2,T,LEPI,herb,LEPIDOPTERA,4
ARCA,ARCA2,T,LEPI,herb,LEPIDOPTERA,5
ARCA,ARCA2,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA2,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA2,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA2,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA3,T,ARCH,herb,ARCHAEOGNATHA,2
ARCA,ARCA3,T,ARCH,herb,ARCHAEOGNATHA,2.5
ARCA,ARCA3,T,ARCH,herb,ARCHAEOGNATHA,3.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,4
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,4
ARCA,ARCA3,T,AUCH,herb,AUCHENORRHYNCHA,4.5
ARCA,ARCA3,T,HETE,omni,HETEROPTERA,1.5
ARCA,ARCA3,T,HETE,omni,HETEROPTERA,1.5
ARCA,ARCA3,T,HETE,omni,HETEROPTERA,2
ARCA,ARCA3,T,HYME,pred,HYMENOPTERA,4
ARCA,ARCA3,T,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA3,T,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA3,T,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA4,T,ARAN,pred,ARANEAE,2
ARCA,ARCA4,T,ARAN,pred,ARANEAE,2
ARCA,ARCA4,T,ARAN,pred,ARANEAE,7
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA4,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA4,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA4,T,COLE,herb,COLEOPTERA,4.5
ARCA,ARCA4,T,COLE,herb,COLEOPTERA,5
ARCA,ARCA4,T,COLE,herb,COLEOPTERA,5.5
ARCA,ARCA4,T,DIPT,herb,DIPTERA,2
ARCA,ARCA4,T,HETE,omni,NA,3
ARCA,ARCA4,T,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA4,T,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA4,T,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA5,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA5,C,COLE,herb,COLEOPTERA,1
ARCA,ARCA5,C,COLE,herb,COLEOPTERA,4.5
ARCA,ARCA5,C,COLE,herb,COLEOPTERA,5
ARCA,ARCA5,C,HETE,omni,HETEROPTERA,2.5
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,2
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,2.5
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,3
ARCA,ARCA5,C,HYME,pred,HYMENOPTERA,3.5
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA5,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA6,T,ARAN,pred,ARANEAE,5
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,1
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA6,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,2
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,2
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,4
ARCA,ARCA6,T,COLE,herb,COLEOPTERA,4
ARCA,ARCA6,T,LEPI,herb,LEPIDOPTERA,2
ARCA,ARCA6,T,NEUR,pred,NEUROPTERA,2.5
ARCA,ARCA6,T,ORTH,herb,ORTHOPTERA,4
ARCA,ARCA6,T,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA6,T,PSOC,herb,PSOCOPTERA,1.5
ARCA,ARCA6,T,PSOC,herb,PSOCOPTERA,2.5
ARCA,ARCA6,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA7,T,ARAN,pred,ARANEAE,8
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA7,T,AUCH,herb,AUCHENORRHYNCHA,4.5
ARCA,ARCA7,T,COLE,herb,COLEOPTERA,6
ARCA,ARCA7,T,HYME,pred,HYMENOPTERA,1.5
ARCA,ARCA7,T,HYME,pred,HYMENOPTERA,4
ARCA,ARCA7,T,NEUR,pred,NEUROPTERA,2.5
ARCA,ARCA7,T,NEUR,pred,NEUROPTERA,2.5
ARCA,ARCA7,T,NEUR,pred,NEUROPTERA,3
ARCA,ARCA8,C,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA8,C,AUCH,herb,AUCHENORRHYNCHA,3
ARCA,ARCA8,C,COLE,herb,COLEOPTERA,1
ARCA,ARCA8,C,COLE,herb,COLEOPTERA,3.5
ARCA,ARCA8,C,DIPT,herb,DIPTERA,1.5
ARCA,ARCA8,C,DIPT,herb,DIPTERA,2
ARCA,ARCA8,C,HYME,pred,HYMENOPTERA,1.5
ARCA,ARCA8,C,HYME,pred,HYMENOPTERA,2.5
ARCA,ARCA8,C,HYME,pred,HYMENOPTERA,3.5
ARCA,ARCA8,C,HYME,pred,HYMENOPTERA,3.5
ARCA,ARCA8,C,HYME,pred,HYMENOPTERA,4
ARCA,ARCA8,C,ISOP,herb,ISOPODA,2
ARCA,ARCA8,C,LEPI,herb,LEPIDOPTERA,4
ARCA,ARCA8,C,ORTH,herb,ORTHOPTERA,2.5
ARCA,ARCA8,C,ORTH,herb,ORTHOPTERA,6.5
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,2.5
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,3
ARCA,ARCA8,C,PSOC,herb,PSOCOPTERA,3
ARCA,ARCA8,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA8,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA8,C,STER,herb,STERNORRHYNCHA,1
ARCA,ARCA8,C,STER,herb,STERNORRHYNCHA,2
ARCA,ARCA9,T,ARAN,pred,ARANEAE,1.5
ARCA,ARCA9,T,ARAN,pred,ARANEAE,2
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA9,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARCA,ARCA9,T,COLE,herb,COLEOPTERA,2.5
ARCA,ARCA9,T,COLE,herb,COLEOPTERA,3
ARCA,ARCA9,T,COLE,herb,COLEOPTERA,4.5
ARCA,ARCA9,T,COLE,herb,COLEOPTERA,6.5
ARCA,ARCA9,T,NEUR,pred,NEUROPTERA,2.5
ARCA,ARCA9,T,NEUR,pred,NEUROPTERA,3
ARCA,ARCA9,T,PSOC,herb,PSOCOPTERA,1
ARCA,ARCA9,T,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA9,T,PSOC,herb,PSOCOPTERA,2
ARCA,ARCA9,T,STER,herb,STERNORRHYNCHA,1.5
ARCA,ARCA9,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,ARAN,pred,ARANEAE,1.5
ARDO,ARDO1,T,ARAN,pred,ARANEAE,3.5
ARDO,ARDO1,T,ARAN,pred,ARANEAE,4
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,1.5
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,2
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,2.5
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,3
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,3
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,3
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,3
ARDO,ARDO1,T,AUCH,herb,AUCHENORRHYNCHA,5
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,1
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,1.5
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2.5
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,4.5
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2
ARDO,ARDO1,T,COLE,herb,COLEOPTERA,2
ARDO,ARDO1,T,DIPT,herb,DIPTERA,1.5
ARDO,ARDO1,T,DIPT,herb,DIPTERA,1.5
ARDO,ARDO1,T,DIPT,herb,DIPTERA,2
ARDO,ARDO1,T,DIPT,herb,DIPTERA,3
ARDO,ARDO1,T,HYME,pred,HYMENOPTERA,2.5
ARDO,ARDO1,T,HYME,pred,HYMENOPTERA,5.5
ARDO,ARDO1,T,LEPI,herb,LEPIDOPTERA,2.5
ARDO,ARDO1,T,PSOC,herb,PSOCOPTERA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,1.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2.5
ARDO,ARDO1,T,STER,herb,STERNORRHYNCHA,2.5
ARDO,ARDO10,C,ARAN,pred,ARANEAE,3
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,1.5
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,2
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,2
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,2
ARDO,ARDO10,C,AUCH,herb,AUCHENORRHYNCHA,2
