"species","Sample","treat","Order","feed","name","length","Taxa","a","b","biomass"
"ERPA","ERPA8","C","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"ISME","ISME8","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"LUAL","LUAL11","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"LUAL","LUAL6","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"SAAP","SAAP15","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"SAME","SAME12","T","ARAN","pred","ARANEAE",1,"ARANEAE",0.1044,2.296,0.1044
"ARCA","ARCA14","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ARCA","ARCA9","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ARDO","ARDO1","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ARDO","ARDO4","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ARDO","ARDO8","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ENCA","ENCA2","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERFA","ERFA10","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERFA","ERFA4","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERFA","ERFA7","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERFA","ERFA9","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERFA","ERFA9","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERPA","ERPA5","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ERPA","ERPA7","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ISME","ISME1","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ISME","ISME12","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ISME","ISME4","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ISME","ISME8","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"LUAL","LUAL10","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"LUAL","LUAL3","C","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"LUAL","LUAL6","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"SAME","SAME3","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"SAME","SAME4","T","ARAN","pred","ARANEAE",1.5,"ARANEAE",0.1044,2.296,0.264853690889069
"ARCA","ARCA14","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARCA","ARCA4","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARCA","ARCA4","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARCA","ARCA9","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARDO","ARDO11","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARDO","ARDO11","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARDO","ARDO3","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARDO","ARDO9","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ENCA","ENCA2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ENCA","ENCA2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ENCA","ENCA2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ENCA","ENCA5","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ENCA","ENCA5","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA10","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA10","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA13","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA2","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA2","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERFA","ERFA9","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERPA","ERPA11","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERPA","ERPA4","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ERPA","ERPA7","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME1","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME11","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME2","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME2","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME3","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME5","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME8","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME9","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ISME","ISME9","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL1","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL1","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL11","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL12","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"LUAL","LUAL3","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAAP","SAAP12","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAAP","SAAP2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAAP","SAAP2","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAME","SAME10","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAME","SAME11","C","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAME","SAME14","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"SAME","SAME3","T","ARAN","pred","ARANEAE",2,"ARANEAE",0.1044,2.296,0.512702421602929
"ARDO","ARDO3","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ARDO","ARDO6","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERFA","ERFA11","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERFA","ERFA13","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERFA","ERFA7","C","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERFA","ERFA9","C","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERFA","ERFA9","C","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ERPA","ERPA13","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ISME","ISME12","C","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"LUAL","LUAL1","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"LUAL","LUAL7","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"SAME","SAME10","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"SAME","SAME10","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"SAME","SAME3","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"SAME","SAME5","T","ARAN","pred","ARANEAE",2.5,"ARANEAE",0.1044,2.296,0.855796997729539
"ARCA","ARCA11","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO10","C","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO3","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO3","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO4","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO6","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO7","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ENCA","ENCA9","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ERFA","ERFA11","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ERFA","ERFA6","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ERFA","ERFA7","C","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ERFA","ERFA7","C","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ISME","ISME1","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ISME","ISME2","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ISME","ISME4","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"LUAL","LUAL11","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"LUAL","LUAL7","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"SAAP","SAAP15","T","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"SAAP","SAAP2","C","ARAN","pred","ARANEAE",3,"ARANEAE",0.1044,2.296,1.30068130928447
"ARDO","ARDO1","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"ENCA","ENCA8","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"ERFA","ERFA12","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"LUAL","LUAL11","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"LUAL","LUAL6","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"LUAL","LUAL7","T","ARAN","pred","ARANEAE",3.5,"ARANEAE",0.1044,2.296,1.85302265274575
"ARDO","ARDO1","T","ARAN","pred","ARANEAE",4,"ARANEAE",0.1044,2.296,2.51785223292632
"ENCA","ENCA9","T","ARAN","pred","ARANEAE",4,"ARANEAE",0.1044,2.296,2.51785223292632
"ERPA","ERPA3","T","ARAN","pred","ARANEAE",4,"ARANEAE",0.1044,2.296,2.51785223292632
"ISME","ISME4","T","ARAN","pred","ARANEAE",4,"ARANEAE",0.1044,2.296,2.51785223292632
"ARCA","ARCA1","C","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"ENCA","ENCA8","T","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"ISME","ISME5","T","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"LUAL","LUAL6","T","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"SAAP","SAAP1","T","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"SAAP","SAAP7","T","ARAN","pred","ARANEAE",4.5,"ARANEAE",0.1044,2.296,3.29971499458256
"ARCA","ARCA14","C","ARAN","pred","ARANEAE",5,"ARANEAE",0.1044,2.296,4.20277004919972
"ARCA","ARCA6","T","ARAN","pred","ARANEAE",5,"ARANEAE",0.1044,2.296,4.20277004919972
"ISME","ISME2","T","ARAN","pred","ARANEAE",5,"ARANEAE",0.1044,2.296,4.20277004919972
"ISME","ISME5","T","ARAN","pred","ARANEAE",5,"ARANEAE",0.1044,2.296,4.20277004919972
"ENCA","ENCA12","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"ERFA","ERFA2","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"ERPA","ERPA5","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"ISME","ISME3","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"SAAP","SAAP3","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"SAAP","SAAP7","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"SAME","SAME3","T","ARAN","pred","ARANEAE",5.5,"ARANEAE",0.1044,2.296,5.23086165159534
"LUAL","LUAL11","T","ARAN","pred","ARANEAE",6,"ARANEAE",0.1044,2.296,6.38757142723964
"LUAL","LUAL2","C","ARAN","pred","ARANEAE",6,"ARANEAE",0.1044,2.296,6.38757142723964
"LUAL","LUAL7","T","ARAN","pred","ARANEAE",6,"ARANEAE",0.1044,2.296,6.38757142723964
"SAAP","SAAP15","T","ARAN","pred","ARANEAE",6,"ARANEAE",0.1044,2.296,6.38757142723964
"SAME","SAME14","T","ARAN","pred","ARANEAE",6,"ARANEAE",0.1044,2.296,6.38757142723964
"ARCA","ARCA11","T","ARAN","pred","ARANEAE",6.5,"ARANEAE",0.1044,2.296,7.67625804449147
"ENCA","ENCA6","T","ARAN","pred","ARANEAE",6.5,"ARANEAE",0.1044,2.296,7.67625804449147
"LUAL","LUAL12","T","ARAN","pred","ARANEAE",6.5,"ARANEAE",0.1044,2.296,7.67625804449147
"SAAP","SAAP15","T","ARAN","pred","ARANEAE",6.5,"ARANEAE",0.1044,2.296,7.67625804449147
"ARCA","ARCA4","T","ARAN","pred","ARANEAE",7,"ARANEAE",0.1044,2.296,9.10008813551563
"ARDO","ARDO4","T","ARAN","pred","ARANEAE",7,"ARANEAE",0.1044,2.296,9.10008813551563
"ARDO","ARDO7","T","ARAN","pred","ARANEAE",7.5,"ARANEAE",0.1044,2.296,10.6620609146416
"ERFA","ERFA10","T","ARAN","pred","ARANEAE",7.5,"ARANEAE",0.1044,2.296,10.6620609146416
"ERPA","ERPA7","T","ARAN","pred","ARANEAE",7.5,"ARANEAE",0.1044,2.296,10.6620609146416
"SAAP","SAAP1","T","ARAN","pred","ARANEAE",7.5,"ARANEAE",0.1044,2.296,10.6620609146416
"ARCA","ARCA7","T","ARAN","pred","ARANEAE",8,"ARANEAE",0.1044,2.296,12.3650281327554
"ARCA","ARCA3","T","ARCH","herb","ARCHAEOGNATHA",2,"ARCHAEOGNATHA",NA,NA,NA
"ISME","ISME2","T","ARCH","herb","ARCHAEOGNATHA",2,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA10","C","ARCH","herb","ARCHAEOGNATHA",2.5,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA10","C","ARCH","herb","ARCHAEOGNATHA",2.5,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA3","T","ARCH","herb","ARCHAEOGNATHA",2.5,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA10","C","ARCH","herb","ARCHAEOGNATHA",3,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA10","C","ARCH","herb","ARCHAEOGNATHA",3,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA3","T","ARCH","herb","ARCHAEOGNATHA",3.5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP5","T","ARCH","herb","ARCHAEOGNATHA",3.5,"ARCHAEOGNATHA",NA,NA,NA
"ARCA","ARCA10","C","ARCH","herb","ARCHAEOGNATHA",4,"ARCHAEOGNATHA",NA,NA,NA
"ENCA","ENCA6","T","ARCH","herb","ARCHAEOGNATHA",4.5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP15","T","ARCH","herb","ARCHAEOGNATHA",4.5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP2","C","ARCH","herb","ARCHAEOGNATHA",5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP6","C","ARCH","herb","ARCHAEOGNATHA",5,"ARCHAEOGNATHA",NA,NA,NA
"ARDO","ARDO5","T","ARCH","herb","ARCHAEOGNATHA",5.5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP3","T","ARCH","herb","ARCHAEOGNATHA",6,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP5","T","ARCH","herb","ARCHAEOGNATHA",6,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP2","C","ARCH","herb","ARCHAEOGNATHA",6.5,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP3","T","ARCH","herb","ARCHAEOGNATHA",7,"ARCHAEOGNATHA",NA,NA,NA
"SAAP","SAAP5","T","ARCH","herb","ARCHAEOGNATHA",7.5,"ARCHAEOGNATHA",NA,NA,NA
"ARDO","ARDO9","C","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCHENORRHYNCHA",0.0548,2.354,0.0107190414097902
"ERPA","ERPA10","C","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCHENORRHYNCHA",0.0548,2.354,0.0107190414097902
"SAAP","SAAP10","T","AUCH","herb","AUCHENORRHYNCHA",0.5,"AUCHENORRHYNCHA",0.0548,2.354,0.0107190414097902
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA11","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA14","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA4","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA5","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA5","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARCA","ARCA6","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO10","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO11","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO13","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO8","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO8","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ARDO","ARDO9","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA1","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA2","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA4","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA4","C","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ENCA","ENCA9","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
"ERFA","ERFA12","T","AUCH","herb","AUCHENORRHYNCHA",1,"AUCHENORRHYNCHA",0.0548,2.354,0.0548
