inits,Sample,SP,PLANT,Well,Order,abundance,size,OTHER,feed,ID,,,
AG,ARCA14,ARCA,14,C5,HEMI,2,S,AUCH,herb,AUCH,,,
AG,ARCA2,ARCA,2,C1,HEMI,4,L,AUCH,herb,AUCH,,,
AG,ARCA2,ARCA,2,C2,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ARCA4,ARCA,4,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,ARCA4,ARCA,4,,HEMI,7,S,AUCH,herb,AUCH,,,
,ARCA5,ARCA,5,A4,HEMI,1,L,AUCH,herb,AUCH,,,
,ARCA5,ARCA,5,A2,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ARCA6,ARCA,6,,HEMI,7,L,AUCH,herb,AUCH,,,
CN,ARCA6,ARCA,6,,HEMI,10,S,AUCH,herb,AUCH,,,
,ARCA7,ARCA,7,A2,HEMI,3,L,AUCH,herb,AUCH,,,
CN,ARCA9,ARCA,9,,HEMI,8,L,AUCH,herb,AUCH,,,
AG,ARCAC2,ARCA,C2,C6,HEMI,5,L,AUCH,herb,AUCH,,,
,ARCAC2,ARCA,C2,D6,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ARDO1,ARDO,1,,HEMI,4,L,AUCH,herb,AUCH,,,
CN,ARDO1,ARDO,1,,HEMI,7,S,AUCH,herb,AUCH,,,
,ARDO10,ARDO,10,C1,HEMI,17,S,AUCH,herb,AUCH,,,
,ARDO11,ARDO,11,A2,HEMI,4,L,AUCH,herb,AUCH,,,
,ARDO11,ARDO,11,B2,HEMI,7,S,AUCH,herb,AUCH,,,
CN,ARDO13,ARDO,13,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,ARDO3,ARDO,3,,HEMI,6,L,AUCH,herb,AUCH,,,
CN,ARDO3,ARDO,3,,HEMI,7,S,AUCH,herb,AUCH,,,
CN,ARDO6,ARDO,6,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,ARDO6,ARDO,6,,HEMI,3,S,AUCH,herb,AUCH,,,
WN,ARDO7,ARDO,7,A2,HEMI,2,L,AUCH,herb,AUCH,,,
WN,ARDO7,ARDO,7,A3,HEMI,4,S,AUCH,herb,AUCH,,,
WN,ARDO8,ARDO,8,A2,HEMI,8,L,AUCH,herb,AUCH,,,
WN,ARDO8,ARDO,8,A3,HEMI,10,S,AUCH,herb,AUCH,,,
CN,ENCA1,ENCA,1,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,ENCA1,ENCA,1,,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ENCA3,ENCA,3,,HEMI,4,S,AUCH,herb,AUCH,,,
,ENCA4,ENCA,4,A3,HEMI,19,S,AUCH,herb,AUCH,,,
EA,ENCA5,ENCA,5,C5,HEMI,6,S,AUCH,herb,AUCH,,,
,ENCA6,ENCA,6,B2,HEMI,7,L,AUCH,herb,AUCH,,,
,ENCA6,ENCA,6,A2,HEMI,1,S,AUCH,herb,AUCH,,,
,ENCA7,ENCA,7,C2,HEMI,2,S,AUCH,herb,AUCH,,,
CN,ENCA8,ENCA,8,,HEMI,1,S,AUCH,herb,AUCH,,,
EA,ENCA9,ENCA,9,A6,HEMI,7,S,AUCH,herb,AUCH,,,
WN,ENCAX,ENCA,14,A5,HEMI,1,S,AUCH,herb,AUCH,,,
,ERFA10,ERFA,10,C4,HEMI,1,L,AUCH,herb,AUCH,,,
,ERFA10,ERFA,10,C6,HEMI,2,S,AUCH,herb,AUCH,,,
,ERFA11,ERFA,11,B4,HEMI,3,L,AUCH,herb,AUCH,,,
,ERFA11,ERFA,11,B3,HEMI,2,S,AUCH,herb,AUCH,,,
WN,ERFA12,ERFA,12,A3,HEMI,6,L,AUCH,herb,AUCH,,,
AW,ERFA13,ERFA,13,A6,HEMI,1,L,AUCH,herb,AUCH,,,
AW,ERFA3,ERFA,3,B5,HEMI,1,S,AUCH,herb,AUCH,,,
AW,ERFA4,ERFA,4,A5,HEMI,8,S,AUCH,herb,AUCH,,,
,ERFA5,ERFA,5,B2,HEMI,2,S,AUCH,herb,AUCH,,,
AW,ERFA6,ERFA,6,C3,HEMI,1,L,AUCH,herb,AUCH,,,
AW,ERFA6,ERFA,6,B6,HEMI,5,S,AUCH,herb,AUCH,,,
,ERFA7,ERFA,7,B5,HEMI,2,S,AUCH,herb,AUCH,,,
,ERFA9,ERFA,9,B4,HEMI,1,L,AUCH,herb,AUCH,,,
AW,ERPA1,ERPA,1,A4,HEMI,1,L,AUCH,herb,AUCH,,,
AW,ERPA10,ERPA,10,A1,HEMI,8,L,AUCH,herb,AUCH,,,
AW,ERPA10,ERPA,10,A3,HEMI,1,S,AUCH,herb,AUCH,,,
AW,ERPA10,ERPA,10,B1,HEMI,1,S,AUCH,herb,AUCH,,,
,ERPA11,ERPA,11,A1,HEMI,2,L,AUCH,herb,AUCH,,,
,ERPA11,ERPA,11,A3,HEMI,2,S,AUCH,herb,AUCH,,,
,ERPA12,ERPA,12,C3,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ERPA3,ERPA,3,,HEMI,3,S,AUCH,herb,AUCH,,,
,ERPA3.1,ERPA,3.1,B6,HEMI,7,L,AUCH,herb,AUCH,,,
CN,ERPA4,ERPA,4,,HEMI,4,L,AUCH,herb,AUCH,,,
CN,ERPA4,ERPA,4,,HEMI,5,S,AUCH,herb,AUCH,,,
,ERPA7,ERPA,7,A4,HEMI,1,S,AUCH,herb,AUCH,,,
,ERPA8,ERPA,8,C1,HEMI,10,S,AUCH,herb,AUCH,,,
CN,ISME1,ISME,1,,HEMI,3,S,AUCH,herb,AUCH,,,
CN,ISME12,ISME,12,,HEMI,2,L,AUCH,herb,AUCH,,,
CN,ISME12,ISME,12,,HEMI,2,S,AUCH,herb,AUCH,,,
CN,ISME13,ISME,13,,HEMI,1,S,AUCH,herb,AUCH,,,
AG,ISME4,ISME,4,B2,HEMI,2,S,AUCH,herb,AUCH,,,
AG,ISME5,ISME,5,A3,HEMI,1,S,AUCH,herb,AUCH,,,
CN,ISME6,ISME,6,,HEMI,7,L,AUCH,herb,AUCH,,,
AG,ISME7,ISME,7,D4,HEMI,1,L,AUCH,herb,AUCH,,,
CN,ISME8,ISME,8,,HEMI,3,L,AUCH,herb,AUCH,,,
CN,ISME8,ISME,8,,HEMI,2,S,AUCH,herb,AUCH,,,
AW,LUAL10,LUAL,10,A2,HEMI,2,S,AUCH,herb,AUCH,,,
CN,LUAL11,LUAL,11,,HEMI,4,L,AUCH,herb,AUCH,,,
CN,LUAL11,LUAL,11,,HEMI,3,S,AUCH,herb,AUCH,,,
CN,LUAL12,LUAL,12,,HEMI,8,L,AUCH,herb,AUCH,,,
CN,LUAL12,LUAL,12,,HEMI,25,S,AUCH,herb,AUCH,,,
,LUAL13,LUAL,13,C4,HEMI,1,L,AUCH,herb,AUCH,,,
,LUAL13,LUAL,13,C1,HEMI,30,S,AUCH,herb,AUCH,,,
,LUAL14,LUAL,14,C3,HEMI,1,S,AUCH,herb,AUCH,,,
WN,LUAL2,LUAL,2,A2,HEMI,1,L,AUCH,herb,AUCH,,,
,LUAL2,LUAL,2,A4,HEMI,9,S,AUCH,herb,AUCH,,,
,LUAL3,LUAL,3,B3,HEMI,5,S,AUCH,herb,AUCH,,,
WN,LUAL4,LUAL,4,A2,HEMI,2,L,AUCH,herb,AUCH,,,
,LUAL6.2,LUAL,6.2,C6,HEMI,2,L,AUCH,herb,AUCH,,,
CN,SAAP1,SAAP,1,,HEMI,3,L,AUCH,herb,AUCH,,,
CN,SAAP10,SAAP,10,,HEMI,17,L,AUCH,herb,AUCH,,,
CN,SAAP10,SAAP,10,,HEMI,39,S,AUCH,herb,AUCH,,,
CN,SAAP11,SAAP,11,,HEMI,11,L,AUCH,herb,AUCH,,,
CN,SAAP11,SAAP,11,,HEMI,22,S,AUCH,herb,AUCH,,,
CN,SAAP12,SAAP,12,,HEMI,10,L,AUCH,herb,AUCH,,,
CN,SAAP12,SAAP,12,,HEMI,6,S,AUCH,herb,AUCH,,,
CN,SAAP15,SAAP,15,,HEMI,3,L,AUCH,herb,AUCH,,,
CN,SAAP15,SAAP,15,,HEMI,7,S,AUCH,herb,AUCH,,,
CN,SAAP2,SAAP,2,,HEMI,6,L,AUCH,herb,AUCH,,,
CN,SAAP2,SAAP,2,,HEMI,22,S,AUCH,herb,AUCH,,,
CN,SAAP4,SAAP,4,,HEMI,8,L,AUCH,herb,AUCH,,,
CN,SAAP4,SAAP,4,,HEMI,23,S,AUCH,herb,AUCH,,,
CN,SAAP5,SAAP,5,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,SAAP5,SAAP,5,,HEMI,4,S,AUCH,herb,AUCH,,,
CN,SAAP6,SAAP,6,,HEMI,12,L,AUCH,herb,AUCH,,,
CN,SAAP6,SAAP,6,,HEMI,11,S,AUCH,herb,AUCH,,,
CN,SAAP7,SAAP,7,,HEMI,11,L,AUCH,herb,AUCH,,,
CN,SAAP7,SAAP,7,,HEMI,8,S,AUCH,herb,AUCH,,,
CN,SAAP8,SAAP,8,,HEMI,3,L,AUCH,herb,AUCH,,,
CN,SAAP8,SAAP,8,,HEMI,2,S,AUCH,herb,AUCH,,,
CN,SAAP9,SAAP,9,,HEMI,8,L,AUCH,herb,AUCH,,,
CN,SAAP9,SAAP,9,,HEMI,9,S,AUCH,herb,AUCH,,,
,SAME10,SAME,10,B5,HEMI,1,S,AUCH,herb,AUCH,,,
AW,SAME11,SAME,11,D5,HEMI,1,L,AUCH,herb,AUCH,,,
AW,SAME11,SAME,11,D4,HEMI,3,S,AUCH,herb,AUCH,,,
,SAME12,SAME,12,A4,HEMI,6,S,AUCH,herb,AUCH,,,
CN,SAME3,SAME,3,,HEMI,4,L,AUCH,herb,AUCH,,,
CN,SAME3,SAME,3,,HEMI,1,S,AUCH,herb,AUCH,,,
,SAME4,SAME,4,D1,HEMI,2,S,AUCH,herb,AUCH,,,
,SAME5,SAME,5,C2,HEMI,1,L,AUCH,herb,AUCH,,,
,SAME5,SAME,5,C1,HEMI,9,S,AUCH,herb,AUCH,,,
,SAME5.2,SAME,5.2,A1,HEMI,1,L,AUCH,herb,AUCH,,,
,SAME5.2,SAME,5.2,A2,HEMI,7,S,AUCH,herb,AUCH,,,
CN,SAME7,SAME,7,,HEMI,1,L,AUCH,herb,AUCH,,,
CN,SAME7,SAME,7,,HEMI,3,S,AUCH,herb,AUCH,,,
CN,SAAP1,SAAP,1,,HETE,8,S,AUCH,herb,AUCH,,,
CN,SAAP3,SAAP,3,,HETE,7,L,AUCH,herb,AUCH,,,
CN,SAAP3,SAAP,3,,HETE,6,S,AUCH,herb,AUCH,,,
CN,ARDO1,ARDO,1,,HYME,1,L,BEE,pred,BEE,,,
CN,ARDO1,ARDO,1,,HYME,1,S,BEE,pred,BEE,,,
,ARDO10,ARDO,10,C4,HYME,3,S,BEE,pred,BEE,,,
,ARDO11,ARDO,11,B5,HYME,1,S,BEE,pred,BEE,,,
CN,ARDO3,ARDO,3,,HYME,1,S,BEE,pred,BEE,,,
EA,ENCA5,ENCA,5,D2,HYME,3,S,BEE,pred,BEE,,,
,ENCA7,ENCA,7,C3,HYME,2,S,BEE,pred,BEE,,,
,ERFA10,ERFA,10,D6,HYME,3,S,BEE,pred,BEE,,,
,ERFA9,ERFA,9,A4,HYME,1,L,BEE,pred,BEE,,,
,ERPA7,ERPA,7,B3,HYME,1,L,BEE,pred,BEE,,,
,ERPA8,ERPA,8,C2,HYME,1,L,BEE,pred,BEE,,,
CN,SAAP1,SAAP,1,,HYME,2,L,BEE,pred,BEE,,,
CN,SAAP9,SAAP,9,,HYME,1,L,BEE,pred,BEE,,,
,SAME5,SAME,5,C5,HYME,1,S,BEE,pred,BEE,,,
CN,SAAP4,SAAP,4,,HYME,3,S,"BEE, ANT, WASP",pred,BEE,,,
CN,ENCA1,ENCA,1,,COLE,1,S,COCC,pred,COCC,,,
CN,ENCA3,ENCA,3,,COLE,1,L,COCC,pred,COCC,,,
CN,ENCA3,ENCA,3,,COLE,2,S,COCC,pred,COCC,,,
,ENCA7,ENCA,7,C2,COLE,1,S,COCC,pred,COCC,,,
EA,ENCA9,ENCA,9,A4,COLE,6,S,COCC,pred,COCC,,,
CN,ERPA3,ERPA,3,,COLE,1,L,COCC,pred,COCC,,,
CN,ERPA4,ERPA,4,,COLE,2,S,COCC,pred,COCC,,,
CN,LUAL11,LUAL,11,,COLE,2,S,COCC,pred,COCC,,,
CN,LUAL12,LUAL,12,,COLE,1,S,COCC,pred,COCC,,,
CN,SAAP1,SAAP,1,,COLE,1,L,COCC,pred,COCC,,,
CN,SAAP4,SAAP,4,,COLE,1,S,COCC,pred,COCC,,,
CN,SAAP6,SAAP,6,,COLE,1,S,COCC,pred,COCC,,,
CN,SAME7,SAME,7,,COLE,1,S,COCC,pred,COCC,,,
CN,ARCA11,ARCA,11,,COLE,3,L,COL35,herb,COLE,,,
AG,ARCA11.2,ARCA,11.2,D1,COLE,13,L,COL35,herb,COLE,,,
AG,ARCA14,ARCA,14,C3,COLE,4,L,COL35,herb,COLE,,,
AG,ARCA2,ARCA,2,B6,COLE,8,L,COL35,herb,COLE,,,
CN,ARCA4,ARCA,4,,COLE,4,L,COL35,herb,COLE,,,
CN,ARCA6,ARCA,6,,COLE,6,L,COL35,herb,COLE,,,
CN,ARCA9,ARCA,9,,COLE,4,L,COL35,herb,COLE,,,
CN,ARDO13,ARDO,13,,COLE,1,S,COL35,herb,COLE,,,
,ERFA5,ERFA,5,A2,COLE,1,L,COL35,herb,COLE,,,
CN,ERPA3,ERPA,3,,COLE,7,L,COL35,herb,COLE,,,
CN,ERPA4,ERPA,4,,COLE,1,L,COL35,herb,COLE,,,
CN,ISME1,ISME,1,,COLE,3,L,COL35,herb,COLE,,,
AG,ISME10,ISME,10,B5,COLE,18,L,COL35,herb,COLE,,,
CN,ISME11,ISME,11,,COLE,24,L,COL35,herb,COLE,,,
CN,ISME12,ISME,12,,COLE,20,L,COL35,herb,COLE,,,
CN,ISME13,ISME,13,,COLE,15,L,COL35,herb,COLE,,,
CN,ISME3,ISME,3,,COLE,6,L,COL35,herb,COLE,,,
AG,ISME4,ISME,4,A6,COLE,14,L,COL35,herb,COLE,,,
AG,ISME5,ISME,5,A1,COLE,5,L,COL35,herb,COLE,,,
AG,ISME7,ISME,7,D3,COLE,3,L,COL35,herb,COLE,,,
CN,ISME8,ISME,8,,COLE,17,L,COL35,herb,COLE,,,
CN,ISME9,ISME,9,,COLE,15,L,COL35,herb,COLE,,,
CN,LUAL11,LUAL,11,,COLE,12,L,COL35,herb,COLE,,,
CN,LUAL11,LUAL,11,,COLE,8,S,COL35,herb,COLE,,,
CN,LUAL12,LUAL,12,,COLE,5,L,COL35,herb,COLE,,,
,LUAL14,LUAL,14,C1,COLE,26,S,COL35,herb,COLE,,,
CN,SAAP1,SAAP,1,,COLE,11,L,COL35,herb,COLE,,,
CN,SAAP10,SAAP,10,,COLE,10,L,COL35,herb,COLE,,,
CN,SAAP11,SAAP,11,,COLE,15,L,COL35,herb,COLE,,,
CN,SAAP15,SAAP,15,,COLE,12,L,COL35,herb,COLE,,,
CN,SAAP9,SAAP,9,,COLE,4,L,COL35,herb,COLE,,,
CN,SAME7,SAME,7,,COLE,1,L,COL35,herb,COLE,,,
CN,ISME3,ISME,3,,ARAN,1,L,GLS,pred,ARAN,,,
AG,ISME5,ISME,5,A2,ARAN,1,L,GLS,pred,ARAN,,,
,ARCA14,ARCA,14,D3,HEMI,1,L,HETE,pred,HETE,,,
,ARCA5,ARCA,5,D5,HEMI,1,S,HETE,pred,HETE,,,
,ARCAC2,ARCA,C2,A5,HEMI,1,L,HETE,pred,HETE,,,
,ARCAC2,ARCA,C2,A6,HEMI,1,S,HETE,pred,HETE,,,
,ARDO10,ARDO,10,C2,HEMI,2,S,HETE,pred,HETE,,,
CN,ARDO13,ARDO,13,,HEMI,1,L,HETE,pred,HETE,,,
CN,ARDO13,ARDO,13,,HEMI,4,S,HETE,pred,HETE,,,
WN,ARDO7,ARDO,7,B2,HEMI,2,S,HETE,pred,HETE,,,
WN,ARDO8,ARDO,8,B3,HEMI,1,S,HETE,pred,HETE,,,
CN,ENCA3,ENCA,3,,HEMI,1,S,HETE,pred,HETE,,,
CN,ENCA8,ENCA,8,,HEMI,7,S,HETE,pred,HETE,,,
WN,ENCAX,ENCA,14,A3,HEMI,1,S,HETE,pred,HETE,,,
,ERFA10,ERFA,10,C1,HEMI,1,L,HETE,pred,HETE,,,
WN,ERFA12,ERFA,12,B6,HEMI,2,L,HETE,pred,HETE,,,
AW,ERFA3,ERFA,3,B3,HEMI,4,S,HETE,pred,HETE,,,
AW,ERFA4,ERFA,4,C2,HEMI,1,L,HETE,pred,HETE,,,
AW,ERFA4,ERFA,4,A4,HEMI,4,S,HETE,pred,HETE,,,
AW,ERFA6,ERFA,6,B2,HEMI,1,L,HETE,pred,HETE,,,
AW,ERFA6,ERFA,6,B4,HEMI,9,S,HETE,pred,HETE,,,
,ERFA7,ERFA,7,B2,HEMI,2,S,HETE,pred,HETE,,,
AW,ERPA10,ERPA,10,A2,HEMI,1,S,HETE,pred,HETE,,,
,ERPA12,ERPA,12,C4,HEMI,2,S,HETE,pred,HETE,,,
,LUAL14,LUAL,14,D2,HEMI,1,L,HETE,pred,HETE,,,
,LUAL2,LUAL,2,A1,HEMI,1,L,HETE,pred,HETE,,,
,LUAL2,LUAL,2,A2,HEMI,4,S,HETE,pred,HETE,,,
,LUAL3,LUAL,3,A1,HEMI,2,L,HETE,pred,HETE,,,
,LUAL3,LUAL,3,B2,HEMI,1,S,HETE,pred,HETE,,,
WN,LUAL4,LUAL,4,A3,HEMI,1,L,HETE,pred,HETE,,,
,LUAL6.2,LUAL,6.2,A3,HEMI,2,L,HETE,pred,HETE,,,
CN,SAAP15,SAAP,15,,HEMI,1,S,HETE,pred,HETE,,,
,SAME12,SAME,12,A3,HEMI,8,S,HETE,pred,HETE,,,
,SAME4,SAME,4,C3,HEMI,18,L,HETE,pred,HETE,,,
,SAME5,SAME,5,B6,HEMI,1,S,HETE,pred,HETE,,,
,ENCA6,ENCA,6,A4,COLE,1,S,LARVAE,herb,COLE,,,
CN,LUAL11,LUAL,11,,COLE,1,L,LARVAE,herb,COLE,,,
,ERPA7,ERPA,7,A6,LEPI,1,S,LARVAE,herb,LEPI,,,
CN,SAAP3,SAAP,3,,LEPI,1,L,LARVAE,herb,LEPI,,,
CN,ARCA6,ARCA,6,,LEPID,1,L,LARVAE,herb,LEPI,,,
,ENCA7,ENCA,7,C4,LEPID,1,S,LARVAE,herb,LEPI,,,
CN,ENCA1,ENCA,1,,COLE,1,L,MIRID,omni,MIRID,,,
CN,ENCA8,ENCA,8,,COLE,1,L,MIRID,omni,MIRID,,,
CN,ENCA8,ENCA,8,,COLE,1,S,MIRID,omni,MIRID,,,
CN,SAAP3,SAAP,3,,COLE,3,S,MIRID,omni,MIRID,,,
CN,SAAP5,SAAP,5,,COLE,4,L,MIRID,omni,MIRID,,,
CN,SAAP5,SAAP,5,,COLE,5,S,MIRID,omni,MIRID,,,
CN,SAAP6,SAAP,6,,COLE,1,L,MIRID,omni,MIRID,,,
,ARDO10,ARDO,10,D3,HEMI,1,L,MIRID,omni,MIRID,,,
EA,ENCA5,ENCA,5,C6,HEMI,1,S,MIRID,omni,MIRID,,,
,ERFA10,ERFA,10,D4,HEMI,10,S,MIRID,omni,MIRID,,,
,ERFA11,ERFA,11,B2,HEMI,1,L,MIRID,omni,MIRID,,,
,ERFA11,ERFA,11,B1,HEMI,14,S,MIRID,omni,MIRID,,,
AW,ERFA13,ERFA,13,B3,HEMI,1,S,MIRID,omni,MIRID,,,
,ERFA2,ERFA,2,C2,HEMI,6,L,MIRID,omni,MIRID,,,
,ERFA2,ERFA,2,C3,HEMI,26,S,MIRID,omni,MIRID,,,
AW,ERFA3,ERFA,3,B4,HEMI,1,L,MIRID,omni,MIRID,,,
AW,ERFA4,ERFA,4,B1,HEMI,2,L,MIRID,omni,MIRID,,,
AW,ERFA4,ERFA,4,B3,HEMI,1,S,MIRID,omni,MIRID,,,
,ERFA5,ERFA,5,A1,HEMI,2,L,MIRID,omni,MIRID,,,
,ERFA5,ERFA,5,B1,HEMI,9,S,MIRID,omni,MIRID,,,
,ERFA7,ERFA,7,B3,HEMI,10,S,MIRID,omni,MIRID,,,
,ERFA9,ERFA,9,A6,HEMI,6,L,MIRID,omni,MIRID,,,
,ERFA9,ERFA,9,B1,HEMI,5,S,MIRID,omni,MIRID,,,
AW,ERPA1,ERPA,1,A2,HEMI,1,S,MIRID,omni,MIRID,,,
,ERPA12,ERPA,12,C2,HEMI,1,S,MIRID,omni,MIRID,,,
,ERPA3.1,ERPA,3.1,C1,HEMI,1,L,MIRID,omni,MIRID,,,
,ERPA7,ERPA,7,A1,HEMI,3,L,MIRID,omni,MIRID,,,
,ERPA7,ERPA,7,A2,HEMI,7,S,MIRID,omni,MIRID,,,
CN,LUAL11,LUAL,11,,HEMI,4,L,MIRID,omni,MIRID,,,
CN,LUAL12,LUAL,12,,HEMI,3,S,MIRID,omni,MIRID,,,
,LUAL14,LUAL,14,C4,HEMI,1,S,MIRID,omni,MIRID,,,
,LUAL2,LUAL,2,B1,HEMI,2,S,MIRID,omni,MIRID,,,
,LUAL6.2,LUAL,6.2,D1,HEMI,3,L,MIRID,omni,MIRID,,,
,LUAL6.2,LUAL,6.2,D3,HEMI,1,S,MIRID,omni,MIRID,,,
,SAME10,SAME,10,C1,HEMI,3,L,MIRID,omni,MIRID,,,
AW,SAME11,SAME,11,D3,HEMI,2,L,MIRID,omni,MIRID,,,
AW,SAME11,SAME,11,D2,HEMI,1,S,MIRID,omni,MIRID,,,
,SAME3,SAME,3,B4,HEMI,1,S,MIRID,omni,MIRID,,,
AG,ARCA11.2,ARCA,11.2,D2,HEMI,1,S,STER,herb,STER,,,
,ARCA14,ARCA,14,D1,HEMI,1,L,STER,herb,STER,,,
,ARCA14,ARCA,14,D2,HEMI,2,S,STER,herb,STER,,,
,ARCA5,ARCA,5,A3,HEMI,1,S,STER,herb,STER,,,
CN,ARCA6,ARCA,6,,HEMI,1,L,STER,herb,STER,,,
CN,ARDO6,ARDO,6,,HEMI,1,S,STER,herb,STER,,,
WN,ARDO7,ARDO,7,D5,HEMI,1,L,STER,herb,STER,,,
WN,ARDO7,ARDO,7,B1,HEMI,1,S,STER,herb,STER,,,
EA,ENCA5,ENCA,5,D1,HEMI,1,S,STER,herb,STER,,,
,ENCA6,ENCA,6,A1,HEMI,1,S,STER,herb,STER,,,
WN,ERFA12,ERFA,12,B5,HEMI,1,L,STER,herb,STER,,,
AW,ERFA13,ERFA,13,A5,HEMI,5,S,STER,herb,STER,,,
AW,ERFA4,ERFA,4,B6,HEMI,1,S,STER,herb,STER,,,
AW,ERFA6,ERFA,6,D3,HEMI,3,L,STER,herb,STER,,,
AW,ERFA6,ERFA,6,C5,HEMI,3,S,STER,herb,STER,,,
,ERPA3.1,ERPA,3.1,C5,HEMI,1,S,STER,herb,STER,,,
AG,ISME5,ISME,5,A5,HEMI,1,S,STER,herb,STER,,,
CN,ISME6,ISME,6,,HEMI,2,S,STER,herb,STER,,,
AW,LUAL10,LUAL,10,B1,HEMI,1,S,STER,herb,STER,,,
,LUAL2,LUAL,2,A5,HEMI,2,S,STER,herb,STER,,,
CN,SAAP15,SAAP,15,,HEMI,1,S,STER,herb,STER,,,
,SAME12,SAME,12,B1,HEMI,1,S,STER,herb,STER,,,
,ARDO11,ARDO,11,A4,HYME,1,L,WASP,pred,WASP,,,
