Sample,ACAR,ANT,ARAN,ARCH,AUCH,BEE,COCC,COLE,DERM,DIPT,HETE,HYME,ISOP,LEPI,MIRID,NEUR,ORTH,PSOC,STER,THYS,WASP,species,treat,WT_multiplier,WT_sample
ENCA2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENCA,C,16,43.98
ENCA1,NA,4,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,ENCA,T,5,43.98
ENCA12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,3,NA,9,NA,NA,ENCA,T,6,43.98
ENCA3,NA,1,NA,NA,4,NA,3,9,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,ENCA,T,14,43.98
ENCA6,NA,2,1,1,8,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,ENCA,T,12,43.98
ENCA8,NA,4,3,NA,5,NA,NA,12,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,ENCA,T,18,43.98
ENCA9,NA,4,2,NA,7,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,ENCA,T,18,43.98
ENCA14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,ENCA,T,4,43.98
ERFA4,3,NA,2,NA,8,NA,NA,2,NA,NA,5,6,NA,NA,3,NA,NA,NA,1,1,NA,ERFA,C,10,43.43
ERFA5,NA,5,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,ERFA,C,11,43.43
ERFA7,NA,NA,4,NA,2,NA,NA,10,NA,2,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,ERFA,C,22,43.43
ERFA9,NA,2,6,NA,1,1,NA,7,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,ERFA,C,19,43.43
ERFA1,NA,2,NA,NA,8,NA,NA,2,NA,2,2,NA,NA,NA,2,NA,NA,NA,12,NA,NA,ERFA,C,13,43.43
ERFA10,2,NA,4,NA,3,3,NA,1,NA,NA,1,NA,NA,NA,10,NA,NA,NA,NA,6,NA,ERFA,T,11,43.43
ERFA11,NA,1,2,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,15,1,1,NA,NA,1,NA,ERFA,T,15,43.43
ERFA12,4,NA,2,NA,6,NA,NA,8,NA,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,ERFA,T,15,43.43
ERFA13,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,8,1,ERFA,T,7,43.43
ERFA2,NA,6,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,ERFA,T,14,43.43
ERFA3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,ERFA,T,11,43.43
ERFA6,NA,2,4,NA,6,NA,NA,3,NA,NA,10,NA,1,1,NA,NA,NA,NA,6,3,NA,ERFA,T,9,43.43
ERFA8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,1,1,ERFA,T,24,43.43
ERPA10,NA,1,NA,NA,10,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERPA,C,25,33.89
ERPA4,NA,NA,3,NA,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,ERPA,C,25,33.89
ERPA8,NA,NA,1,NA,7,1,NA,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ERPA,C,29,33.89
ERPA2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ERPA,C,18,33.89
ERPA6,NA,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERPA,C,9,33.89
ERPA1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,ERPA,T,16,33.89
ERPA11,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ERPA,T,15,33.89
ERPA12,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,6,ERPA,T,13,33.89
ERPA3,NA,3,1,NA,3,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ERPA,T,16,33.89
ERPA7,NA,NA,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,2,5,ERPA,T,34,33.89
ERPA5,NA,10,3,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,ERPA,T,24,33.89
ERPA9,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERPA,T,18,33.89
ERPA13,NA,1,1,NA,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,ERPA,T,28,33.89
ISME10,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,C,10,97.44
ISME11,NA,NA,1,NA,NA,NA,NA,24,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,ISME,C,10,97.44
ISME12,NA,NA,2,NA,5,NA,NA,20,NA,NA,2,NA,NA,NA,1,NA,1,NA,4,NA,NA,ISME,C,14,97.44
ISME13,NA,NA,NA,NA,3,NA,NA,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,C,13,97.44
ISME9,NA,NA,2,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,ISME,C,11,97.44
ISME1,NA,NA,3,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,T,7,97.44
ISME3,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,ISME,T,9,97.44
ISME4,NA,NA,3,NA,2,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,T,11,97.44
ISME5,NA,NA,3,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,ISME,T,9,97.44
ISME6,NA,NA,NA,NA,7,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,ISME,T,6,97.44
ISME7,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,ISME,T,10,97.44
ISME8,NA,2,3,NA,5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,T,14,97.44
ISME2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ISME,T,8,97.44
LUAL2,NA,1,3,NA,8,NA,NA,4,NA,NA,5,NA,NA,NA,2,NA,NA,NA,2,NA,2,LUAL,C,8,63.19
LUAL3,NA,NA,2,NA,5,NA,NA,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUAL,C,6,63.19
LUAL5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,NA,3,5,NA,NA,LUAL,C,5,63.19
LUAL8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,LUAL,C,9,63.19
LUAL9,NA,NA,NA,NA,7,1,2,9,NA,3,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,LUAL,C,13,63.19
LUAL10,1,NA,1,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,LUAL,T,8,63.19
LUAL11,NA,1,5,NA,7,NA,2,21,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,LUAL,T,8,63.19
LUAL12,4,NA,2,NA,33,NA,1,5,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,1,LUAL,T,12,63.19
LUAL13,1,NA,NA,NA,31,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,LUAL,T,10,63.19
LUAL4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,LUAL,T,8,63.19
LUAL1,NA,NA,3,NA,1,NA,NA,28,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,LUAL,T,4,63.19
LUAL6,NA,1,4,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,4,NA,1,NA,NA,NA,NA,LUAL,T,6,63.19
LUAL7,2,2,4,NA,20,NA,1,2,NA,1,2,1,NA,2,NA,NA,NA,NA,NA,1,1,LUAL,T,10,63.19
SAAP12,NA,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,SAAP,C,9,95.58
SAAP2,NA,NA,3,2,28,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,SAAP,C,8,95.58
SAAP4,NA,NA,NA,NA,31,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,SAAP,C,17,95.58
SAAP6,1,1,NA,1,23,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,SAAP,C,12,95.58
SAAP8,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAAP,C,6,95.58
SAAP1,NA,1,2,NA,11,2,1,11,NA,1,NA,1,NA,NA,NA,NA,1,1,5,NA,NA,SAAP,T,15,95.58
SAAP10,NA,1,NA,NA,56,NA,NA,11,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAAP,T,16,95.58
SAAP11,NA,1,NA,NA,30,NA,NA,14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,SAAP,T,12,95.58
SAAP15,1,6,4,1,10,NA,NA,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,SAAP,T,8,95.58
SAAP3,NA,14,1,2,13,NA,NA,12,NA,4,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,SAAP,T,12,95.58
SAAP5,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,1,NA,NA,NA,NA,SAAP,T,7.5,95.58
SAAP7,3,1,2,NA,19,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,SAAP,T,9,95.58
SAAP9,NA,NA,NA,NA,17,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAAP,T,10,95.58
SAME11,NA,NA,1,NA,4,NA,NA,2,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,SAME,C,12,62.75
SAME2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,SAME,C,10,62.75
SAME6,NA,NA,NA,NA,9,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,SAME,C,7,62.75
SAME8,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,NA,NA,SAME,C,6,62.75
SAME9,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,SAME,C,7,62.75
SAME10,1,3,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,SAME,T,8,62.75
SAME12,NA,NA,1,NA,6,2,NA,1,NA,1,8,NA,NA,NA,NA,NA,1,NA,1,NA,NA,SAME,T,8,62.75
SAME3,NA,NA,4,NA,5,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,SAME,T,8,62.75
SAME4,NA,5,1,NA,2,NA,NA,1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,SAME,T,11,62.75
SAME5,NA,NA,1,NA,10,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,2,5,NA,NA,SAME,T,5,62.75
SAME7,NA,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,1,SAME,T,7,62.75
SAME1,NA,NA,NA,NA,8,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SAME,T,6,62.75
SAME14,NA,1,2,NA,3,2,NA,4,NA,1,NA,NA,2,NA,NA,NA,1,NA,3,NA,NA,SAME,T,6,62.75
