Sample,species,plant,vaccum_time,flower,treat,WT_multiplier,diameter,complexity,height,bees,WT_sample,WT_plant,arth_abun,arth_dens,vol (m2),insect/vol,NOTES
LUAL12,LUAL,12,2:31,N,T,12,0.81,11,0.7,N,63.19,758.28,41,54.06973677,0.3611,113.5416,
LUAL13,LUAL,13,2:18,N,T,10,0.8,10,0.71,N,63.19,631.9,38,60.13609748,0.3573,106.3615,
SAAP1,SAAP,1,2:47,Y,T,15,0.98,12,1.24,Y,95.58,1433.7,34,23.71486364,0.9363,36.3115,
SAAP2,SAAP,2,2:51,N,C,8,0.82,14,0.9,N,95.58,764.64,32,41.84975936,0.4758,67.2542,
SAAP3,SAAP,3,2:18,Y,T,12,1.09,13,0.77,Y,95.58,1146.96,46,40.10601939,0.7193,63.9519,
SAAP4,SAAP,4,4:31,Y,C,17,1.01,17,1.42,Y,95.58,1624.86,31,19.07856677,1.1389,27.2189,
SAAP5,SAAP,5,2:39,N,T,7.5,1.04,9,0.78,N,95.58,716.85,19,26.5048476,0.6633,28.6439,
SAAP6,SAAP,6,2:34,N,C,12,1.11,11,0.54,N,95.58,1146.96,32,27.89983958,0.5231,61.1716,
SAAP7,SAAP,7,2:40,Y,T,9,0.91,8,0.78,N,95.58,860.22,22,25.57485294,0.5079,43.3196,
SAAP8,SAAP,8,3:13,N,C,6,0.83,6,0.92,N,95.58,573.48,5,8.718699867,0.4983,10.0338,
SAAP9,SAAP,9,2:33,N,T,10,0.87,7,0.8,N,95.58,955.8,12,12.55492781,0.4761,25.2053,
SAAP10,SAAP,10,2:45,N,T,16,1.21,13,0.67,N,95.58,1529.28,70,45.7731743,0.7713,90.7594,
SAAP11,SAAP,11,2:32,N,T,12,1.02,10,0.72,N,95.58,1146.96,48,41.84975936,0.5890,81.4981,
SAAP12,SAAP,12,2:20,N,C,9,0.85,,0.9,,95.58,860.22,16,18.59989305,0.5113,31.2953,
SAAP14,SAAP,14,2:19,N,C,,0,,0,N,95.58,0,,#DIV/0!,0.0000,#DIV/0!,
SAAP15,SAAP,15,4:15,Y,T,8,1.07,7,0.65,Y,95.58,764.64,37,48.38878426,0.5851,63.2354,
SAME1,SAME,1,3:20,N,T,6,0.8,5,0.82,Y,62.75,376.5,,0,0.4126,0.0000,
SAME2,SAME,2,3:31,N,C,10,1.19,6,1.14,N,62.75,627.5,7,11.15537849,1.2693,5.5149,
SAME3,SAME,3,4:17,N,T,8,0.94,4,0.64,N,62.75,502,24,47.80876494,0.4446,53.9778,
SAME4,SAME,4,4:00,Y,T,11,1.61,4,1.55,N,62.75,690.25,43,62.29626947,3.1590,13.6121,
SAME5,SAME,5,3:09,N,T,5,0.74,5,0.78,Y,62.75,313.75,25,79.6812749,0.3358,74.4426,
SAME6,SAME,6,3:30,Y,C,7,0.94,4,1.55,N,62.75,439.25,9,20.48947069,1.0768,8.3578,
SAME7,SAME,7,3:15,N,T,7,0.55,8,0.8,N,62.75,439.25,8,18.21286283,0.1903,42.0450,
SAME8,SAME,8,2:57,N,C,6,0.74,6,0.79,N,62.75,376.5,3,7.96812749,0.3401,8.8200,
SAME9,SAME,9,3:58,N,C,7,1.17,6,1.7,N,62.75,439.25,5,11.38303927,1.8297,2.7327,
SAME10,SAME,10,3:41,Y,T,8,1.31,4,0.9,Y,62.75,502,12,23.90438247,1.2144,9.8818,
SAME11,SAME,11,4:03,Y,C,12,1.64,8,1.88,Y,62.75,753,13,17.26427623,3.9756,3.2699,
SAME12,SAME,12,4:29,N,T,8,0.85,7,0.74,Y,62.75,502,25,49.80079681,0.4204,59.4716,
SAME14,SAME,14,3:01,N,T,,0,,0,N,62.75,0,,#DIV/0!,0.0000,#DIV/0!,
,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,0,,,,,
,,,,,,,,,,,,0,,,,,
