"Sample","SP","Order","abundance","size","OTHER","feed","ID","SPECIES","treat"
"ENCA7","ENCA","COLE",1,"S","COCC","pred","COCC","ENCA","C"
"ENCA9","ENCA","COLE",6,"S","COCC","pred","COCC","ENCA","T"
"ERPA3","ERPA","COLE",1,"L","COCC","pred","COCC","ERPA","T"
"ERPA4","ERPA","COLE",2,"S","COCC","pred","COCC","ERPA","C"
"LUAL11","LUAL","COLE",2,"S","COCC","pred","COCC","LUAL","T"
"LUAL12","LUAL","COLE",1,"S","COCC","pred","COCC","LUAL","T"
"SAAP1","SAAP","COLE",1,"L","COCC","pred","COCC","SAAP","T"
"SAAP4","SAAP","COLE",1,"S","COCC","pred","COCC","SAAP","C"
"SAAP6","SAAP","COLE",1,"S","COCC","pred","COCC","SAAP","C"
"SAME7","SAME","COLE",1,"S","COCC","pred","COCC","SAME","T"
"ARCA11","ARCA","COLE",3,"L","COL35","herb","COLE","ARCA","T"
"ARCA11.2","ARCA","COLE",13,"L","COL35","herb","COLE",NA,NA
"ARCA14","ARCA","COLE",4,"L","COL35","herb","COLE",NA,NA
"ARCA2","ARCA","COLE",8,"L","COL35","herb","COLE","ARCA","T"
"ARCA4","ARCA","COLE",4,"L","COL35","herb","COLE","ARCA","T"
"ARCA6","ARCA","COLE",6,"L","COL35","herb","COLE","ARCA","T"
"ARCA9","ARCA","COLE",4,"L","COL35","herb","COLE","ARCA","T"
"ARDO13","ARDO","COLE",1,"S","COL35","herb","COLE","ARDO","C"
"ERFA5","ERFA","COLE",1,"L","COL35","herb","COLE","ERFA","T"
"ERPA3","ERPA","COLE",7,"L","COL35","herb","COLE","ERPA","T"
"ERPA4","ERPA","COLE",1,"L","COL35","herb","COLE","ERPA","C"
"ISME1","ISME","COLE",3,"L","COL35","herb","COLE","ISME","T"
"ISME10","ISME","COLE",18,"L","COL35","herb","COLE","ISME","C"
"ISME11","ISME","COLE",24,"L","COL35","herb","COLE","ISME","C"
"ISME12","ISME","COLE",20,"L","COL35","herb","COLE","ISME","C"
"ISME13","ISME","COLE",15,"L","COL35","herb","COLE","ISME","C"
"ISME3","ISME","COLE",6,"L","COL35","herb","COLE","ISME","T"
"ISME4","ISME","COLE",14,"L","COL35","herb","COLE","ISME","T"
"ISME5","ISME","COLE",5,"L","COL35","herb","COLE","ISME","T"
"ISME7","ISME","COLE",3,"L","COL35","herb","COLE","ISME","T"
"ISME8","ISME","COLE",17,"L","COL35","herb","COLE","ISME","T"
"ISME9","ISME","COLE",15,"L","COL35","herb","COLE","ISME","C"
"LUAL11","LUAL","COLE",12,"L","COL35","herb","COLE","LUAL","T"
"LUAL11","LUAL","COLE",8,"S","COL35","herb","COLE","LUAL","T"
"LUAL12","LUAL","COLE",5,"L","COL35","herb","COLE","LUAL","T"
"LUAL14","LUAL","COLE",26,"S","COL35","herb","COLE",NA,NA
"SAAP1","SAAP","COLE",11,"L","COL35","herb","COLE","SAAP","T"
"SAAP10","SAAP","COLE",10,"L","COL35","herb","COLE","SAAP","T"
"SAAP11","SAAP","COLE",15,"L","COL35","herb","COLE","SAAP","T"
"SAAP15","SAAP","COLE",12,"L","COL35","herb","COLE","SAAP","T"
"SAAP9","SAAP","COLE",4,"L","COL35","herb","COLE","SAAP","T"
"SAME7","SAME","COLE",1,"L","COL35","herb","COLE","SAME","T"
"ISME3","ISME","ARAN",1,"L","GLS","pred","ARAN","ISME","T"
"ISME5","ISME","ARAN",1,"L","GLS","pred","ARAN","ISME","T"
"ARCA14","ARCA","HEMI",1,"L","HETE","pred","HETE",NA,NA
"ARCA5","ARCA","HEMI",1,"S","HETE","pred","HETE","ARCA","C"
"ARCAC2","ARCA","HEMI",1,"L","HETE","pred","HETE",NA,NA
"ARCAC2","ARCA","HEMI",1,"S","HETE","pred","HETE",NA,NA
"ARDO10","ARDO","HEMI",2,"S","HETE","pred","HETE","ARDO","C"
"ARDO13","ARDO","HEMI",1,"L","HETE","pred","HETE","ARDO","C"
"ARDO13","ARDO","HEMI",4,"S","HETE","pred","HETE","ARDO","C"
"ARDO7","ARDO","HEMI",2,"S","HETE","pred","HETE","ARDO","T"
"ARDO8","ARDO","HEMI",1,"S","HETE","pred","HETE","ARDO","C"
"ENCA3","ENCA","HEMI",1,"S","HETE","pred","HETE","ENCA","T"
"ENCA8","ENCA","HEMI",7,"S","HETE","pred","HETE","ENCA","T"
"ENCAX","ENCA","HEMI",1,"S","HETE","pred","HETE",NA,NA
"ERFA10","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","T"
"ERFA12","ERFA","HEMI",2,"L","HETE","pred","HETE","ERFA","T"
"ERFA3","ERFA","HEMI",4,"S","HETE","pred","HETE","ERFA","T"
"ERFA4","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","C"
"ERFA4","ERFA","HEMI",4,"S","HETE","pred","HETE","ERFA","C"
"ERFA6","ERFA","HEMI",1,"L","HETE","pred","HETE","ERFA","C"
"ERFA6","ERFA","HEMI",9,"S","HETE","pred","HETE","ERFA","C"
"ERFA7","ERFA","HEMI",2,"S","HETE","pred","HETE","ERFA","C"
"ERPA10","ERPA","HEMI",1,"S","HETE","pred","HETE","ERPA","C"
"ERPA12","ERPA","HEMI",2,"S","HETE","pred","HETE","ERPA","T"
"LUAL14","LUAL","HEMI",1,"L","HETE","pred","HETE",NA,NA
"LUAL2","LUAL","HEMI",1,"L","HETE","pred","HETE","LUAL","C"
"LUAL2","LUAL","HEMI",4,"S","HETE","pred","HETE","LUAL","C"
"LUAL3","LUAL","HEMI",2,"L","HETE","pred","HETE","LUAL","C"
"LUAL3","LUAL","HEMI",1,"S","HETE","pred","HETE","LUAL","C"
"LUAL4","LUAL","HEMI",1,"L","HETE","pred","HETE","LUAL","T"
"LUAL6.2","LUAL","HEMI",2,"L","HETE","pred","HETE",NA,NA
"SAAP15","SAAP","HEMI",1,"S","HETE","pred","HETE","SAAP","T"
"SAME12","SAME","HEMI",8,"S","HETE","pred","HETE","SAME","T"
"SAME4","SAME","HEMI",18,"L","HETE","pred","HETE","SAME","C"
"SAME5","SAME","HEMI",1,"S","HETE","pred","HETE","SAME","T"
"ENCA6","ENCA","COLE",1,"S","LARVAE","herb","COLE","ENCA","T"
"LUAL11","LUAL","COLE",1,"L","LARVAE","herb","COLE","LUAL","T"
"ERPA7","ERPA","LEPI",1,"S","LARVAE","herb","LEPI","ERPA","T"
"SAAP3","SAAP","LEPI",1,"L","LARVAE","herb","LEPI","SAAP","T"
"ARCA6","ARCA","LEPID",1,"L","LARVAE","herb","LEPI","ARCA","T"
"ENCA7","ENCA","LEPID",1,"S","LARVAE","herb","LEPI","ENCA","C"
"ENCA1","ENCA","COLE",1,"L","MIRID","omni","MIRID","ENCA","T"
"ENCA8","ENCA","COLE",1,"L","MIRID","omni","MIRID","ENCA","T"
"ENCA8","ENCA","COLE",1,"S","MIRID","omni","MIRID","ENCA","T"
"SAAP3","SAAP","COLE",3,"S","MIRID","omni","MIRID","SAAP","T"
"SAAP5","SAAP","COLE",4,"L","MIRID","omni","MIRID","SAAP","T"
"SAAP5","SAAP","COLE",5,"S","MIRID","omni","MIRID","SAAP","T"
"SAAP6","SAAP","COLE",1,"L","MIRID","omni","MIRID","SAAP","C"
"ARDO10","ARDO","HEMI",1,"L","MIRID","omni","MIRID","ARDO","C"
"ENCA5","ENCA","HEMI",1,"S","MIRID","omni","MIRID","ENCA","C"
"ERFA10","ERFA","HEMI",10,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA11","ERFA","HEMI",1,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA11","ERFA","HEMI",14,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA13","ERFA","HEMI",1,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA2","ERFA","HEMI",6,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA2","ERFA","HEMI",26,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA3","ERFA","HEMI",1,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA4","ERFA","HEMI",2,"L","MIRID","omni","MIRID","ERFA","C"
"ERFA4","ERFA","HEMI",1,"S","MIRID","omni","MIRID","ERFA","C"
"ERFA5","ERFA","HEMI",2,"L","MIRID","omni","MIRID","ERFA","T"
"ERFA5","ERFA","HEMI",9,"S","MIRID","omni","MIRID","ERFA","T"
"ERFA7","ERFA","HEMI",10,"S","MIRID","omni","MIRID","ERFA","C"
"ERFA9","ERFA","HEMI",6,"L","MIRID","omni","MIRID","ERFA","C"
"ERFA9","ERFA","HEMI",5,"S","MIRID","omni","MIRID","ERFA","C"
"ERPA1","ERPA","HEMI",1,"S","MIRID","omni","MIRID","ERPA","T"
"ERPA12","ERPA","HEMI",1,"S","MIRID","omni","MIRID","ERPA","T"
"ERPA3.1","ERPA","HEMI",1,"L","MIRID","omni","MIRID",NA,NA
"ERPA7","ERPA","HEMI",3,"L","MIRID","omni","MIRID","ERPA","T"
"ERPA7","ERPA","HEMI",7,"S","MIRID","omni","MIRID","ERPA","T"
"LUAL11","LUAL","HEMI",4,"L","MIRID","omni","MIRID","LUAL","T"
"LUAL12","LUAL","HEMI",3,"S","MIRID","omni","MIRID","LUAL","T"
"LUAL14","LUAL","HEMI",1,"S","MIRID","omni","MIRID",NA,NA
"LUAL2","LUAL","HEMI",2,"S","MIRID","omni","MIRID","LUAL","C"
"LUAL6.2","LUAL","HEMI",3,"L","MIRID","omni","MIRID",NA,NA
"LUAL6.2","LUAL","HEMI",1,"S","MIRID","omni","MIRID",NA,NA
"SAME10","SAME","HEMI",3,"L","MIRID","omni","MIRID","SAME","T"
"SAME11","SAME","HEMI",2,"L","MIRID","omni","MIRID","SAME","C"
"SAME11","SAME","HEMI",1,"S","MIRID","omni","MIRID","SAME","C"
"SAME3","SAME","HEMI",1,"S","MIRID","omni","MIRID","SAME","T"
"ARCA11.2","ARCA","HEMI",1,"S","STER","herb","STER",NA,NA
"ARCA14","ARCA","HEMI",1,"L","STER","herb","STER",NA,NA
"ARCA14","ARCA","HEMI",2,"S","STER","herb","STER",NA,NA
"ARCA5","ARCA","HEMI",1,"S","STER","herb","STER","ARCA","C"
"ARCA6","ARCA","HEMI",1,"L","STER","herb","STER","ARCA","T"
"ARDO6","ARDO","HEMI",1,"S","STER","herb","STER","ARDO","T"
"ARDO7","ARDO","HEMI",1,"L","STER","herb","STER","ARDO","T"
"ARDO7","ARDO","HEMI",1,"S","STER","herb","STER","ARDO","T"
"ENCA5","ENCA","HEMI",1,"S","STER","herb","STER","ENCA","C"
"ENCA6","ENCA","HEMI",1,"S","STER","herb","STER","ENCA","T"
"ERFA12","ERFA","HEMI",1,"L","STER","herb","STER","ERFA","T"
"ERFA13","ERFA","HEMI",5,"S","STER","herb","STER","ERFA","T"
"ERFA4","ERFA","HEMI",1,"S","STER","herb","STER","ERFA","C"
"ERFA6","ERFA","HEMI",3,"L","STER","herb","STER","ERFA","C"
"ERFA6","ERFA","HEMI",3,"S","STER","herb","STER","ERFA","C"
"ERPA3.1","ERPA","HEMI",1,"S","STER","herb","STER",NA,NA
"ISME5","ISME","HEMI",1,"S","STER","herb","STER","ISME","T"
"ISME6","ISME","HEMI",2,"S","STER","herb","STER","ISME","T"
"LUAL10","LUAL","HEMI",1,"S","STER","herb","STER","LUAL","T"
"LUAL2","LUAL","HEMI",2,"S","STER","herb","STER","LUAL","C"
"SAAP15","SAAP","HEMI",1,"S","STER","herb","STER","SAAP","T"
"SAME12","SAME","HEMI",1,"S","STER","herb","STER","SAME","T"
