Date,SPECIES,Initials,Sample,plant,treat,10,10,15,15,20,20,25,25,30,30,35,35,40,40,45,45,50,50,55,55,TOTAL TIME,ABUNDANCE,L,S,SAMPLE WT,SAMPLE WT (G),VA,MULTIPLIER,PLANT WT,TOTAL PLANT WT,HEIGHT,DIAMETER,COMPLEXITY,vaccuum,flowering,,,,,,,,
4/7/15,ERFA,CN,ERFA12,12,T,3,18,1,0,0,1,0,0,,,,,,,,,,,,,25,23,4,19,10856,10.856,2.118644068,,,0,,,,,,,,,,,,,
3/16/15,ERFA,CN,ERFA13,13,T,1,9,0,1,0,2,0,0,3,0,0,,,,,,,,,,35,16,4,12,5252,5.252,3.046458492,,43.43,0,,,,,,,,,,,,,
,ERPA,CN,ERPA2,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/15,ERPA,CN,ERPA4,4,C,4,8,0,2,1,1,1,2,0,0,,,,,,,,,,,30,19,6,13,23779,23.779,0.799024349,,,0,,,,,,,,,,,,,
,ERPA,CN,ERPA6,6,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/15,ERPA,CN,ERPA8,8,C,2,13,0,3,0,0,,,,,,,,,,,,,,,20,18,2,16,9854,9.854,1.826669373,,,0,,,,,,,,,,,,,
3/16/15,ERPA,CN,ERPA10,10,C,0,11,0,3,0,3,0,0,,,,,,,,,,,,,25,17,0,17,12456,12.456,1.36480411,,33.89,0,,,,,,,,,,,,,
4/6/15,ERPA,CN,ERPA1,1,T,3,2,1,4,0,0,,,,,,,,,,,,,,,20,10,4,6,9669,9.669,1.034233116,,,0,,,,,,,,,,,,,
3/16/15,ERPA,CN,ERPA3,3,T,1,7,0,3,0,3,0,1,0,1,0,0,,,,,,,,,35,16,1,15,9576,9.576,1.670843776,,33.89,0,,,,,,,,,,,,,
3/16/15,ERPA,CN,ERPA5,5,T,0,8,0,2,0,1,0,0,0,,,,,,,,,,,,25,11,0,11,14256,14.256,0.771604938,,33.89,0,,,,,,,,,,,,,
4/3/15,ERPA,CN,ERPA7,7,T,2,16,1,4,1,3,0,2,0,0,,,,,,,,,,,30,29,4,25,13662,13.662,2.122676036,,,0,,,,,,,,,,,,,
4/4/15,ERPA,CN,ERPA9,9,T,1,2,0,0,,,,,,,,,,,,,,,,,15,3,1,2,16545,16.545,0.181323663,,,0,,,,,,,,,,,,,
3/30/15,ERPA,CN,ERPA11,11,T,2,9,1,1,0,2,0,1,0,0,,,,,,,,,,,30,16,3,13,6260,6.26,2.555910543,,33.89,0,,,,,,,,,,,,,
3/16/15,ERPA,CN,ERPA12,12,T,1,12,0,1,0,0,,,,,,,,,,,,,,,20,14,1,13,9333,9.333,1.500053573,,33.89,0,,,,,,,,,,,,,
4/7/15,ERPA,CN,ERPA13,13,T,4,12,2,6,1,3,0,0,,,,,,,,,,,,,25,28,7,21,10743,10.743,2.60634832,,,0,,,,,,,,,,,,,
4/7/15,ISME,CN,ISME9,9,C,1,9,0,3,0,2,0,0,,,,,,,,,,,,,25,15,1,14,12921,12.921,1.160900859,11,108.35,1191.85,83,60,25,0.012585476,,,,,,,,,
3/16/15,ISME,CN,ISME10,10,C,0,6,0,5,0,5,0,0,,,,,,,,,,,,,25,16,0,16,4765,4.765,3.357817419,8,108.35,866.8,93,48,19,0.018458699,,,,,,,,,
3/24/15,ISME,CN,ISME11,11,C,0,14,0,1,0,0,,,,,,,,,,,,,,,20,15,0,15,6096,6.096,2.460629921,10,108.35,1083.5,104,54,10,0.013844024,,,,,,,,,
4/7/15,ISME,CN,ISME12,12,C,1,15,2,5,0,3,0,0,,,,,,,,,,,,,25,26,3,23,13111,13.111,1.983067653,14,108.35,1516.9,118,99,24,0.01714022,,,,,,,,,
4/4/14,ISME,CN,ISME13,13,C,1,14,0,0,,,,,,,,,,,,,,,,,15,15,1,14,7200,7.2,2.083333333,8,108.35,866.8,119,59,4,0.01730503,,,,,,,,,
3/16/15,ISME,CN,ISME1,1,T,1,2,0,6,0,3,0,0,,,,,,,,,,,,,25,12,1,11,6356,6.356,1.887979862,9,108.35,975.15,93,64,17,0.012305799,,,,,,,,,
,ISME,,ISME2,2,T,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,8,108.35,866.8,84,84,17,0,,,,,,,,,
4/7/15,ISME,CN,ISME3,3,T,0,7,0,0,0,,,,,,,,,,,,,,,,15,7,0,7,4863,4.863,1.439440674,9,108.35,975.15,61,49,14,0.007178383,,,,,,,,,
3/16/15,ISME,CN,ISME4,4,T,0,15,0,1,0,0,,,,,,,,,,,,,,,20,16,0,16,10228,10.228,1.564333203,11,108.35,1191.85,104,58,15,0.013424508,,,,,,,,,
3/16/15,ISME,CN,ISME5,5,T,1,9,0,4,0,0,,,,,,,,,,,,,,,20,14,1,13,5367,5.367,2.608533631,9,108.35,975.15,111,71,14,0.014356766,,,,,,,,,
3/16/15,ISME,CN,ISME6,6,T,0,6,0,3,0,2,0,1,0,1,0,0,,,,,,,,,35,13,0,13,8878,8.878,1.46429376,6,108.35,650.1,91,66,14,0.019996924,,,,,,,,,
3/16/15,ISME,CN,ISME7,7,T,1,4,0,0,,,,,,,,,,,,,,,,,15,5,1,4,9677,9.677,0.516689057,12,108.35,1300.2,82,64,21,0.003845562,,,,,,,,,
4/2/15,ISME,CN,ISME8,8,T,0,16,0,6,0,2,0,0,,,,,,,,,,,,,25,24,0,24,7682,7.682,3.12418641,7,108.35,758.45,80,77,11,0.031643483,,,,,,,,,
3/30/15,LUAL,CN,LUAL2,2,C,2,14,0,8,1,5,0,2,0,1,0,0,,,,,,,,,35,33,3,30,1458,1.458,22.63374486,,63.19,0,,,,,,,,,,,,,
3/16/15,LUAL,CN,LUAL3,3,C,1,8,0,5,0,2,0,4,0,0,,,,,,,,,,,30,20,1,19,3564,3.564,5.611672278,,63.19,0,,,,,,,,,,,,,
3/24/15,LUAL,CN,LUAL5,5,C,3,14,0,3,0,0,,,,,,,,,,,,,,,20,20,3,17,9867,9.867,2.026958549,,63.19,0,,,,,,,,,,,,,
3/30/15,LUAL,CN,LUAL8,8,C,0,6,0,3,0,0,,,,,,,,,,,,,,,20,9,0,9,13862,13.862,0.649256961,,63.19,0,,,,,,,,,,,,,
3/16/15,LUAL,CN,LUAL9,9,C,5,26,0,1,0,1,0,0,,,,,,,,,,,,,25,33,5,28,13353,13.353,2.471354752,,63.19,0,,,,,,,,,,,,,
,LUAL,CN,LUAL1,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/15,LUAL,CN,LUAL4,4,T,0,5,0,1,0,0,,,,,,,,,,,,,,,20,6,0,6,10151,10.151,0.591074771,,63.19,0,,,,,,,,,,,,,
3/30/15,LUAL,CN,LUAL6,6,T,6,8,2,4,1,1,0,1,0,0,,,,,,,,,,,30,23,9,14,13333,13.333,1.725043126,,63.19,0,,,,,,,,,,,,,
,LUAL,CN,LUAL7,7,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/15,LUAL,CN,LUAL10,10,T,1,6,0,5,0,3,0,0,,,,,,,,,,,,,25,15,1,14,15044,15.044,0.997075246,,63.19,0,,,,,,,,,,,,,
4/4/15,LUAL,CN,LUAL11,11,T,3,29,1,8,0,1,0,0,,,,,,,,,,,,,25,42,4,38,13517,13.517,3.107198343,,,0,,,,,,,,,,,,,
4/7/15,LUAL,CN,LUAL12,12,T,3,35,0,3,0,0,,,,,,,,,,,,,,,20,41,3,38,5041,5.041,8.133306884,,,0,,,,,,,,,,,,,
4/7/15,LUAL,CN,LUAL13,13,T,4,31,0,3,0,0,,,,,,,,,,,,,,,20,38,4,34,5249,5.249,7.239474186,,,0,,,,,,,,,,,,,
2/18/15,SAAP,AT,SAAP2,2,C,4,10,2,7,1,4,1,3,0,0,,,,,,,,,,,30,32,8,24,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
2/18/15,SAAP,AT,SAAP4,4,C,3,26,0,2,0,0,,,,,,,,,,,,,,,20,31,3,28,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
3/16/15,SAAP,CN,SAAP6,6,C,6,24,0,2,0,0,,,,,,,,,,,,,,,20,32,6,26,7580,7.58,4.221635884,,95.58,0,,,,,,,,,,,,,
3/16/15,SAAP,CN,SAAP8,8,C,0,5,0,0,,,,,,,,,,,,,,,,,15,5,0,5,7555,7.555,0.661813369,,95.58,0,,,,,,,,,,,,,
3/25/15,SAAP,CN,SAAP12,12,C,2,14,0,0,,,,,,,,,,,,,,,,,15,16,2,14,1286,1.286,12.44167963,,95.58,0,,,,,,,,,,,,,
,SAAP,CN,SAAP14,14,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/15,SAAP,CN,SAAP1,1,T,5,11,5,10,0,2,0,1,0,0,,,,,,,,,,,30,34,10,24,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,extras in vial belong to erfa3
2/17/15,SAAP,CN,SAAP3,3,T,7,18,0,9,2,4,0,6,0,0,,,,,,,,,,,30,46,9,37,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
2/18/15,SAAP,AT,SAAP5,5,T,3,14,0,2,0,0,,,,,,,,,,,,,,,20,19,3,16,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
3/30/15,SAAP,CN,SAAP7,7,T,1,21,0,0,,,,,,,,,,,,,,,,,15,22,1,21,,0,#DIV/0!,,,0,,,,,,,,,,,,,
3/16/15,SAAP,CN,SAAP9,9,T,2,10,0,0,,,,,,,,,,,,,,,,,15,12,2,10,3500,3.5,3.428571429,,95.58,0,,,,,,,,,,,,,
2/17/15,SAAP,CN,SAAP10,10,T,15,37,3,11,1,1,1,1,0,0,,,,,,,,,,,30,70,20,50,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
2/18/15,SAAP,AT,SAAP11,11,T,1,25,2,11,1,7,0,1,0,0,,,,,,,,,,,30,48,4,44,,0,#DIV/0!,,95.58,0,,,,,,,,,,,,,
3/24/15,SAAP,CN,SAAP15,15,T,2,23,0,6,0,5,1,0,0,0,,,,,,,,,,,30,37,3,34,16134,16.134,2.293293666,,95.58,0,,,,,,,,,,,,,
4/7/15,SAME,CN,SAME2,2,C,0,7,0,0,,,,,,,,,,,,,,,,,15,7,0,7,13579,13.579,0.515501878,,,0,,,,,,,,,,,,,
3/16/15,SAME,CN,SAME4,4,C,3,28,1,6,4,1,0,0,,,,,,,,,,,,,25,43,8,35,14051,14.051,3.060280407,,62.75,0,,,,,,,,,,,,,
4/1/15,SAME,CN,SAME6,6,C,1,8,0,0,,,,,,,,,,,,,,,,,15,9,1,8,9333,9.333,0.964320154,,,0,,,,,,,,,,,,,
4/14/15,SAME,CN,SAME9,9,C,2,3,0,0,,,,,,,,,,,,,,,,,15,5,2,3,5949,5.949,0.840477391,,,0,,,,,,,,,,,,,
3/30/15,SAME,CN,SAME11,11,C,1,12,0,0,,,,,,,,,,,,,,,,,15,13,1,12,8657,8.657,1.501674945,,62.75,0,,,,,,,,,,,,,
,SAME,CN,SAME1,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/15,SAME,CN,SAME3,3,T,1,14,0,4,0,3,0,2,0,0,,,,,,,,,,,30,24,1,23,15858,15.858,1.513431706,,62.75,0,,,,,,,,,,,,,
3/30/15,SAME,CN,SAME5,5,T,1,20,0,3,0,1,0,0,,,,,,,,,,,,,25,25,1,24,15351,15.351,1.6285584,,62.75,0,,,,,,,,,,,,,
4/7/15,SAME,CN,SAME7,7,T,0,8,0,0,,,,,,,,,,,,,,,,,15,8,0,8,22300,22.3,0.358744395,,,0,,,,,,,,,,,,,
3/16/15,SAME,CN,SAME8,8,T,0,3,0,0,,,,,,,,,,,,,,,,,15,3,0,3,9281,9.281,0.32324103,,62.75,0,,,,,,,,,,,,,
3/16/15,SAME,CN,SAME10,10,T,1,11,0,0,,,,,,,,,,,,,,,,,15,12,1,11,7119,7.119,1.685630004,,62.75,0,,,,,,,,,,,,,
3/16/15,SAME,CN,SAME12,12,T,2,22,0,1,0,0,,,,,,,,,,,,,,,20,25,2,23,10121,10.121,2.470111649,,62.75,0,,,,,,,,,,,,,
,SAME,CN,SAME14,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,#DIV/0!,,,0,,,,,,,,,,,,,
