plant,sample,method,wt,status,day died,av sp wt,m-i,m-i2
SAAP,5,2,0.61,ALIVE,,0.632222,0.022222,0.000493817
SAAP,5,2,0.86,ALIVE,,0.632222,-0.227778,0.051882817
SAAP,6,2,0.01,DEAD,3,0.632222,0.632222,0.399704657
SAAP,6,2,0.01,DEAD,2,0.632222,0.632222,0.399704657
SAAP,6,2,0.99,ALIVE,,0.632222,-0.357778,0.128005097
SAME,4,2,0.61,ALIVE,,0.82,0.21,0.0441
SAME,4,2,0.67,ALIVE,,0.82,0.15,0.0225
SAME,4,2,1.27,ALIVE,,0.82,-0.45,0.2025
SAME,5,2,0,DEAD,3,0.82,0.82,0.6724
SAME,5,2,1.39,ALIVE,,0.82,-0.57,0.3249
SAME,6,2,0.39,ALIVE, ,0.82,0.43,0.1849
SAME,6,2,0,DEAD,5,0.82,0.82,0.6724
SAME,6,2,1.28,ALIVE,,0.82,-0.46,0.2116
ERPA,1,,0.19,0,,,,
ERPA,1,,0.23,0,,,,
ERPA,1,,0.23,0,,,,
ERPA,2,,0.31,0,,,,
ERPA,2,,0.02,0,,,,
ERPA,2,,0,0,,,,
ERPA,3,,0.01,0,,,,
ERPA,3,,0.01,0,,,,
ERPA,3,,0.002,0,,,,
ERPA,6,,0.18,0.18,,,,
ERPA,6,,0.19,0.19,,,,
ERPA,5,,0.23,0.23,,,,
ERPA,6,,0.23,0.23,,,,
ERPA,4,,0.31,0.31,,,,
ERPA,5,,0.32,0.32,,,,
ERPA,5,,0.33,0.33,,,,
ERPA,4,,0.4,0.4,,,,
ERPA,4,,0.41,0.41,,,,
